time,open,high,low,close,volume
1757563200000,4404.11,4418.56,4395.05,4411.32,17451.1294
1757566800000,4411.32,4425.0,4398.43,4419.03,16506.2835
1757570400000,4419.02,4443.16,4406.83,4440.0,26088.7194
1757574000000,4440.0,4450.0,4425.83,4440.41,20075.6722
1757577600000,4440.4,4442.47,4427.2,4431.42,14379.5271
1757581200000,4431.41,4434.76,4406.3,4416.29,17355.1799
1757584800000,4416.29,4430.37,4414.73,4427.82,9902.6221
1757588400000,4427.81,4438.91,4423.02,4429.8,10261.0441
1757592000000,4429.81,4481.09,4350.01,4426.06,96208.2052
1757595600000,4426.07,4442.9,4385.03,4437.4,45021.3291
1757599200000,4437.4,4438.93,4396.39,4427.53,24458.0332
1757602800000,4427.54,4432.94,4401.0,4412.52,12840.2306
1757606400000,4412.52,4426.14,4407.4,4417.9,8442.7166
1757610000000,4417.9,4441.5,4414.11,4433.31,11506.6909
1757613600000,4433.31,4437.19,4408.67,4420.31,8149.9792
1757617200000,4420.3,4430.66,4413.39,4423.73,7670.0082
1757620800000,4423.73,4426.98,4415.4,4417.28,4831.106
1757624400000,4417.28,4430.51,4415.69,4429.22,5614.5354
1757628000000,4429.23,4462.01,4424.36,4453.72,23903.5576
1757631600000,4453.72,4469.0,4451.32,4458.82,11421.6846
1757635200000,4458.83,4539.0,4450.71,4512.07,47696.2458
1757638800000,4512.06,4532.84,4494.15,4497.61,25723.3644
1757642400000,4497.61,4524.35,4496.25,4507.51,15055.0101
1757646000000,4507.52,4509.37,4488.38,4505.55,13819.0875
1757649600000,4505.55,4524.64,4500.01,4521.36,13555.3737
1757653200000,4521.35,4558.88,4514.64,4558.41,19050.4858
1757656800000,4558.42,4563.0,4531.63,4538.99,21576.7894
1757660400000,4539.0,4551.97,4524.17,4525.81,17991.185
1757664000000,4525.81,4533.32,4513.67,4517.9,10909.7447
1757667600000,4517.89,4528.71,4504.5,4515.12,11573.724
1757671200000,4515.11,4522.94,4507.41,4516.69,8427.4449
1757674800000,4516.69,4536.53,4513.59,4520.76,8211.8068
1757678400000,4520.76,4530.81,4504.11,4526.63,12954.1738
1757682000000,4526.63,4543.08,4506.88,4539.64,15659.256
1757685600000,4539.63,4571.24,4524.64,4547.02,37358.1756
1757689200000,4547.02,4551.6,4528.32,4541.98,14104.1874
1757692800000,4541.99,4576.2,4533.69,4575.8,18817.3497
1757696400000,4575.79,4628.0,4564.81,4613.05,34941.8661
1757700000000,4613.06,4627.45,4599.54,4624.61,19677.4485
1757703600000,4624.62,4660.0,4614.65,4657.18,28618.5268
1757707200000,4657.19,4692.56,4630.24,4670.48,33140.9516
1757710800000,4670.48,4671.89,4644.42,4649.8,17082.0472
1757714400000,4649.81,4748.4,4649.8,4695.16,43279.7156
1757718000000,4695.17,4715.27,4671.51,4712.16,21553.5798
1757721600000,4712.16,4717.65,4697.0,4704.71,15547.5932
1757725200000,4704.7,4733.58,4700.01,4700.49,18959.0696
1757728800000,4700.48,4714.45,4691.85,4702.71,10921.2093
1757732400000,4702.72,4769.36,4701.86,4756.81,54521.0074
1757736000000,4756.8,4756.91,4734.88,4743.1,17164.0295
1757739600000,4743.1,4743.11,4717.96,4723.43,12902.2765
1757743200000,4723.43,4730.88,4702.33,4711.09,15373.3973
1757746800000,4711.09,4723.49,4707.29,4711.7,8389.8771
1757750400000,4711.7,4731.16,4711.7,4730.25,9700.5993
1757754000000,4730.25,4733.45,4720.81,4732.52,10272.1799
1757757600000,4732.51,4738.58,4710.23,4718.05,14503.6281
1757761200000,4718.04,4724.75,4709.01,4719.53,8430.1064
1757764800000,4719.53,4730.18,4714.86,4720.45,6937.7372
1757768400000,4720.45,4725.51,4650.1,4685.79,32134.9988
1757772000000,4685.8,4709.17,4666.24,4689.12,23493.054
1757775600000,4689.13,4705.26,4645.0,4653.92,30300.5913
1757779200000,4653.92,4667.92,4616.32,4623.65,35483.6407
1757782800000,4623.66,4642.39,4605.0,4634.09,21901.0089
1757786400000,4634.09,4651.58,4625.17,4643.08,9059.2422
1757790000000,4643.09,4648.62,4635.31,4638.21,5657.6018
1757793600000,4638.21,4662.03,4637.35,4657.58,11819.5629
1757797200000,4657.58,4667.69,4656.56,4663.5,7595.2325
1757800800000,4663.51,4665.51,4647.62,4658.53,5524.365
1757804400000,4658.53,4672.94,4656.26,4666.53,7801.678
1757808000000,4666.54,4681.46,4659.17,4670.27,9667.8421
1757811600000,4670.27,4678.07,4650.44,4673.13,9048.9128
1757815200000,4673.13,4692.36,4671.0,4683.16,10421.7011
1757818800000,4683.16,4686.62,4661.27,4663.22,6097.3103
1757822400000,4663.22,4667.33,4634.0,4658.97,10309.982
1757826000000,4658.97,4679.96,4658.47,4676.08,6022.3357
1757829600000,4676.09,4681.47,4660.24,4666.4,6493.2512
1757833200000,4666.4,4667.96,4641.85,4650.58,5597.7866
1757836800000,4650.58,4664.52,4645.53,4656.01,4740.546
1757840400000,4656.01,4674.38,4652.96,4665.29,5616.8189
1757844000000,4665.3,4669.73,4657.15,4659.83,3783.4028
1757847600000,4659.82,4667.96,4626.68,4635.0,12008.3623
1757851200000,4634.99,4644.74,4615.05,4632.34,17842.6426
1757854800000,4632.35,4635.0,4606.69,4612.8,17477.6574
1757858400000,4612.8,4644.54,4578.85,4601.89,74544.5694
1757862000000,4601.88,4604.64,4576.89,4582.22,16209.2294
1757865600000,4582.23,4610.5,4579.36,4596.83,12036.0756
1757869200000,4596.83,4629.27,4590.7,4619.9,12122.6228
1757872800000,4619.9,4620.43,4600.34,4603.5,5274.8914
1757876400000,4603.5,4625.37,4592.33,4615.47,7150.5316
1757880000000,4615.46,4627.98,4613.95,4616.78,3905.2407
1757883600000,4616.79,4636.27,4598.46,4629.83,7485.7266
1757887200000,4629.83,4636.51,4611.03,4629.15,6654.0767
1757890800000,4629.15,4630.0,4601.91,4604.49,7732.8045
1757894400000,4604.48,4616.01,4586.63,4601.68,9810.8265
1757898000000,4601.68,4623.24,4580.1,4618.15,11398.8162
1757901600000,4618.16,4629.76,4610.35,4620.19,9904.7222
1757905200000,4620.19,4643.57,4619.35,4636.2,9356.0389
1757908800000,4636.2,4660.56,4636.19,4642.71,14015.1308
1757912400000,4642.72,4664.07,4640.4,4662.84,10071.3911
1757916000000,4662.84,4670.28,4617.77,4630.49,19094.2442
1757919600000,4630.49,4642.44,4587.9,4597.37,30785.0971
1757923200000,4597.37,4597.37,4508.23,4510.62,62995.579
1757926800000,4510.62,4535.78,4498.22,4526.22,33532.5645
1757930400000,4526.22,4535.25,4504.97,4529.79,25026.7545
1757934000000,4529.79,4539.5,4522.0,4530.65,9131.4881
1757937600000,4530.66,4536.52,4508.77,4514.38,15696.187
1757941200000,4514.38,4541.92,4491.3,4515.42,26238.3068
1757944800000,4515.42,4529.71,4497.61,4511.24,17812.4752
1757948400000,4511.24,4520.93,4466.0,4500.01,34603.6915
1757952000000,4500.01,4510.93,4479.89,4494.82,14820.7012
1757955600000,4494.82,4510.15,4474.04,4509.9,9792.4202
1757959200000,4509.9,4512.86,4487.0,4501.5,9915.1541
1757962800000,4501.5,4514.28,4476.12,4493.41,13476.9134
1757966400000,4493.41,4513.07,4488.49,4510.71,8325.8753
1757970000000,4510.71,4528.55,4506.81,4524.26,7069.2376
1757973600000,4524.25,4529.99,4509.13,4513.52,4521.1416
1757977200000,4513.52,4528.18,4508.37,4523.74,4897.2117
1757980800000,4523.74,4523.74,4503.0,4513.45,6333.3783
1757984400000,4513.46,4538.25,4513.12,4517.63,9214.4141
1757988000000,4517.63,4531.72,4513.68,4514.02,4106.3922
1757991600000,4514.01,4531.75,4513.69,4520.78,4108.4772
1757995200000,4520.77,4523.6,4487.53,4518.93,11280.2703
1757998800000,4518.94,4532.77,4512.24,4529.32,7620.1438
1758002400000,4529.31,4536.21,4493.75,4508.81,9461.78
1758006000000,4508.81,4516.37,4502.4,4512.86,7857.46
1758009600000,4512.87,4531.35,4499.0,4511.6,9021.4758
1758013200000,4511.59,4516.46,4503.0,4511.29,4775.551
1758016800000,4511.29,4514.59,4493.31,4498.75,8185.6776
1758020400000,4498.75,4506.84,4493.77,4501.26,7744.0773
1758024000000,4501.26,4507.11,4495.97,4500.04,7046.8831
1758027600000,4500.03,4512.49,4430.59,4473.58,48732.325
1758031200000,4473.57,4473.58,4424.0,4446.71,29446.1889
1758034800000,4446.71,4478.66,4430.54,4468.2,24464.1741
1758038400000,4468.19,4476.98,4447.03,4463.54,26589.2955
