[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.1815
[INFO] 2026-03-29 20:52:42 | BUY at 3.2
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.21
[INFO] 2026-03-29 20:52:42 | BUY at 3.2815
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.269
[INFO] 2026-03-29 20:52:42 | BUY at 3.1129
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.1149
[INFO] 2026-03-29 20:52:42 | BUY at 3.23
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.2472
[INFO] 2026-03-29 20:52:42 | BUY at 3.2537
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.233
[INFO] 2026-03-29 20:52:42 | BUY at 3.2348
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.2499
[INFO] 2026-03-29 20:52:42 | BUY at 3.1815
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.1601
[INFO] 2026-03-29 20:52:42 | BUY at 3.12
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.1323
[INFO] 2026-03-29 20:52:42 | BUY at 3.26
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.1984
[INFO] 2026-03-29 20:52:42 | BUY at 3.2296
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.2255
[INFO] 2026-03-29 20:52:42 | BUY at 3.2255
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.2276
[INFO] 2026-03-29 20:52:42 | BUY at 3.1929
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.1988
[INFO] 2026-03-29 20:52:42 | BUY at 3.2262
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.2381
[INFO] 2026-03-29 20:52:42 | BUY at 3.243
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.2611
[INFO] 2026-03-29 20:52:42 | BUY at 3.2742
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.2597
[INFO] 2026-03-29 20:52:42 | BUY at 3.37
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.4388
[INFO] 2026-03-29 20:52:42 | BUY at 3.4278
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.4345
[INFO] 2026-03-29 20:52:42 | BUY at 3.4068
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.4215
[INFO] 2026-03-29 20:52:42 | BUY at 3.4639
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.4768
[INFO] 2026-03-29 20:52:42 | BUY at 3.51
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.4699
[INFO] 2026-03-29 20:52:42 | BUY at 3.46
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.48
[INFO] 2026-03-29 20:52:42 | BUY at 3.4743
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.4856
[INFO] 2026-03-29 20:52:42 | BUY at 3.63
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.666
[INFO] 2026-03-29 20:52:42 | BUY at 3.6669
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.66
[INFO] 2026-03-29 20:52:42 | BUY at 3.6426
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.6161
[INFO] 2026-03-29 20:52:42 | BUY at 3.6414
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.6328
[INFO] 2026-03-29 20:52:42 | BUY at 3.8019
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.82
[INFO] 2026-03-29 20:52:42 | BUY at 3.8559
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.8851
[INFO] 2026-03-29 20:52:42 | BUY at 3.9125
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.9117
[INFO] 2026-03-29 20:52:42 | BUY at 3.8164
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.83
[INFO] 2026-03-29 20:52:42 | BUY at 3.6625
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.6954
[INFO] 2026-03-29 20:52:42 | BUY at 3.8499
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.8313
[INFO] 2026-03-29 20:52:42 | BUY at 3.7874
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.7702
[INFO] 2026-03-29 20:52:42 | BUY at 3.768
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.7966
[INFO] 2026-03-29 20:52:42 | BUY at 3.807
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.8163
[INFO] 2026-03-29 20:52:42 | BUY at 3.8125
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.7976
[INFO] 2026-03-29 20:52:42 | BUY at 3.715
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.7236
[INFO] 2026-03-29 20:52:42 | BUY at 3.715
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.7678
[INFO] 2026-03-29 20:52:42 | BUY at 3.7175
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.7282
