timestamp,message
2025-10-01T18:25:59.603062+02:00,Сделка разрешена
2025-10-01T18:26:01.942304+02:00,Сделка разрешена
2025-10-01T18:26:02.543677+02:00,Сделка разрешена
2025-10-01T18:26:02.549039+02:00,Сделка разрешена
2025-10-01T18:27:34.069247+02:00,Сделка разрешена
2025-10-01T18:27:36.214528+02:00,Сделка разрешена
2025-10-01T18:27:36.263310+02:00,Сделка разрешена
2025-10-01T18:27:36.266334+02:00,Сделка разрешена
2025-10-01T18:27:36.771209+02:00,Сделка разрешена
2025-10-01T18:27:36.775276+02:00,Сделка разрешена
2025-10-01T18:32:26.126247+02:00,Сделка разрешена
2025-10-01T18:32:40.912328+02:00,Сделка разрешена
2025-10-01T18:32:40.916591+02:00,Сделка разрешена
2025-10-01T18:34:22.260343+02:00,Сделка разрешена
2025-10-01T18:34:24.792757+02:00,Сделка разрешена
2025-10-01T18:34:24.796973+02:00,Сделка разрешена
2025-10-01T18:36:50.917856+02:00,Сделка разрешена
2025-10-01T18:36:52.945317+02:00,Сделка разрешена
2025-10-01T18:36:52.992099+02:00,Сделка разрешена
2025-10-01T18:36:52.995096+02:00,Сделка разрешена
2025-10-01T18:36:53.493228+02:00,Сделка разрешена
2025-10-01T18:36:53.497267+02:00,Сделка разрешена
2025-10-01T18:43:04.145751+02:00,Сделка разрешена
2025-10-01T18:43:07.028297+02:00,Сделка разрешена
2025-10-01T18:43:07.638578+02:00,Сделка разрешена
2025-10-01T18:43:07.644280+02:00,Сделка разрешена
2025-10-01T18:47:22.702134+02:00,Сделка разрешена
2025-10-01T18:47:25.269381+02:00,Сделка разрешена
2025-10-01T18:47:25.819146+02:00,Сделка разрешена
2025-10-01T18:47:25.823909+02:00,Сделка разрешена
2025-10-01T18:48:10.666744+02:00,Сделка разрешена
2025-10-01T18:48:13.321517+02:00,Сделка разрешена
2025-10-01T18:48:13.893603+02:00,Сделка разрешена
2025-10-01T18:48:13.898018+02:00,Сделка разрешена
2025-10-01T18:59:33.978316+02:00,Сделка разрешена
2025-10-01T18:59:36.650152+02:00,Сделка разрешена
2025-10-01T18:59:37.212271+02:00,Сделка разрешена
2025-10-01T18:59:37.217263+02:00,Сделка разрешена
